,Year,Engine,Seating,Price
235,2010,3500.0,5.0,8900000.0
236,2019,1600.0,5.0,3929999.9999999995
237,2021,1500.0,5.0,6600000.0
238,2022,1500.0,5.0,3648708.333333333
239,2016,1300.0,5.0,2850000.0
240,2017,1800.0,5.0,4250000.0
241,2012,1800.0,7.0,5250000.0
250,2013,1300.0,5.0,1880000.0
251,2022,660.0,4.0,2220000.0
252,2010,1300.0,5.0,1725000.0
253,2021,1500.0,5.0,6300000.0
254,2012,1300.0,5.0,1950000.0
255,2018,1600.0,5.0,3525000.0
256,2015,1600.0,5.0,2850000.0
257,2006,1000.0,5.0,730000.0
259,2009,660.0,4.0,1425000.0
260,1967,1800.0,4.0,1050000.0
261,2015,796.0,4.0,1075000.0
262,2007,1000.0,4.0,800000.0
263,2012,1800.0,5.0,3729999.9999999995
264,2012,1300.0,5.0,1400000.0
265,2014,1500.0,5.0,4000000.0
266,2017,1500.0,5.0,5700000.0
267,2022,1200.0,5.0,3860000.0
268,2022,1800.0,5.0,5950000.0
269,2021,660.0,4.0,4175000.0
271,2017,1800.0,5.0,3990000.0
272,2022,1400.0,5.0,4800000.0
273,2022,1600.0,5.0,5275000.0
274,2006,2800.0,7.0,4000000.0
275,2001,1600.0,5.0,994999.9999999999
276,2014,1500.0,5.0,5300000.0
277,2009,1000.0,5.0,980000.0000000001
279,2017,1500.0,5.0,2750000.0
281,2014,1500.0,5.0,4500000.0
283,1997,1300.0,5.0,1080000.0
284,2022,1800.0,5.0,4700000.0
285,2004,1600.0,6.0,1375000.0
286,2007,1300.0,5.0,1750000.0
287,2011,1300.0,5.0,1900000.0
288,2004,1000.0,5.0,850000.0
289,2003,1000.0,5.0,1500000.0
290,2022,660.0,4.0,2070000.0
291,2017,1800.0,5.0,4029999.9999999995
293,2021,660.0,4.0,2100000.0
294,2010,1300.0,5.0,2300000.0
295,2015,1300.0,5.0,2275000.0
296,2017,660.0,4.0,2100000.0
297,2022,660.0,4.0,2490000.0
298,2015,1000.0,5.0,1875000.0
299,2014,1800.0,5.0,4300000.0
300,2019,660.0,4.0,3250000.0
301,2001,1300.0,5.0,860000.0
302,2021,1000.0,5.0,3150000.0
303,2016,1500.0,5.0,4700000.0
304,2021,1500.0,5.0,6900000.0
305,2021,1500.0,7.0,5000000.0
306,2021,1500.0,7.0,5400000.0
307,2020,3000.0,5.0,9450000.0
308,2009,1300.0,5.0,1785000.0000000002
309,2017,1500.0,5.0,5000000.0
310,2021,1500.0,5.0,6250000.0
311,2016,1800.0,5.0,2900000.0
312,1994,3000.0,7.0,2200000.0
313,2015,1500.0,5.0,4600000.0
314,2020,660.0,4.0,2050000.0
315,2001,1500.0,5.0,450000.0
316,2006,1300.0,5.0,1700000.0
318,2020,1300.0,5.0,3300000.0
319,2017,1000.0,5.0,1800000.0
320,2015,1300.0,5.0,2300000.0
321,2021,2000.0,5.0,5500000.0
322,2012,800.0,4.0,770000.0
327,2018,1800.0,5.0,4175000.0
328,2017,3000.0,5.0,8500000.0
329,2003,4700.0,7.0,9000000.0
330,2011,1300.0,5.0,1725000.0
331,2004,2400.0,5.0,2175000.0
332,2013,3000.0,5.0,6500000.0
333,2007,1500.0,5.0,2125000.0
334,2016,1500.0,5.0,4490000.0
335,2003,1300.0,7.0,1350000.0
336,2006,1300.0,4.0,800000.0
